Name,Gruppe,Jahr,Standort
Capriolata ,Arvensis Hybride,1768,A1
Rosa Sancta,Gallica-Hybride,1848,A1
Blanche de Belgique,Rosa alba,1817,A1
Celestial,Rosa alba,1759,A1
Mme Legras de St. Germain,Rosa alba,vor 1848,A1
Königin von Dänemark,Rosa alba,1816,A1 
Königin von Dänemark,Rosa alba,1816,A1 
Maiden's Blush,Rosa alba,vor 1500,A1 
Maxima,Rosa alba,1450,A1 Birnbaum
Belle Isis,Rosa gallica,1845,A10  Am Pavillon
Kriechrose,Rosa arvensis,Europäische Wildrose,A10 Am Pavillon
Le Rire Niais,Rosa centifolia,1810,A10 Am Pavillon
Camaieux,Rosa gallica,1826,A10 Am Pavillon
Cramoisi Picoté,Rosa gallica,1834,A10 Am Pavillon
Belle de Crecy,Rosa gallica,1830/1845,A10 Am Pavillon
Jenny Duval,Rosa gallica ,,A10 Am Pavillon
Pikkala,Rosa gallica/centifolia?,,A10 Am Pavillon
Kriechrose,Rosa arvensis,Europäische Wildrose,A2
Perle von Weißenstein,Rosa gallica,1773,A2
Alpenrose,Rosa pendulina,Europäische Wildrose,A2
Ayrshire Splendens ,Arvensis-Hybride,1835,A2 
Complicata,Gallica-Hybride,unbekannt,A2 
Hundsrose,Rosa canina,1753,A2 
Hechtrose ,Rosa glauca,1788,A2 
Alpenrose,Rosa pendulina,1753 L.,A2 
Alpenrose,Rosa pendulina,Europäische Wildrose,A2 
Weinrose ,Rosa rubiginosa,1771,A2 
Double White,Bibernell-Hybride,1808,A3 Fenster
Mary Queen of Scots,Pimpinellifolia,,A3 Fenster
Zuckerröslein,Rosa gallica 'Conditorum',alt; in Deutschland 1889,A3 Fenster
Apothekerrose,Rosa gallica 'Officinalis',1310,A3 Fenster
Schwefel-Rose,Rosa hemisphaerica,1601,A3 Fenster
Zimtrose,Rosa majalis,Europäische Wildrose,A3 Fenster
Bibernell-Rose,Rosa pimpinellifolia,vor 1600 Europäische Wildrose,A3 Fenster
Adelaide d'Orléans,Sempervirens Rambler,1829,A3 Fenster
Rosa gallica 'Pumila',Rosa gallica,vor 1789,A3 Fenster 
Zimtrose,Rosa majalis,Europäische Wildrose,A3 Fenster 
Foecundissima,Rosa majalis 'Plena',1596,A3 Fenster 
Triginitipetala,Rosa damascena ,alt,A4 Bänke
Päonienrose,Rosa frankofortana,vor 1828,A4 Bänke
Empress Josephine,Rosa frankofurtana ,1815,A4 Bänke
Splendens,Rosa gallica,1583,A4 Bänke
Rosa moschata 'Plena',Rosa moschata,vor 1596,A4 Bänke
